ID,Name,Date_of_birth,Age,Gender,Race,Location,country,edu,No_Connection,Year_of_Exp,No_of_Job_changed,No_of_titles,Current_Title,Title_Level,Previous_Title1,Title_Level1,Previous_Title2,Title_Level2,Previous_Title3,Title_Level3,Previous_Title4,Title_Level4,Previous_Title5,Title_Level5,Current_Salary,Fortune500,SuccessScore
255,Sammie Cole,12/19/92,24,Female,African American,AR,USA,Undergraduate,328,2,1,6,Director of Product Management,5,Application Development Analyst,3,Developer Analyst,3,Data Analyst,3,Analyst,3,Software Business Operations Analyst,3,275711,0,8611.384542
256,Felicitas Ryan,4/17/60,57,Male,Caucasian,FL,USA,Doctorate,410,24,1,6,Strategy Director,5,Senior PM,4,Student Worker,1,Summer Intern,1,Intern,1,Product Management Intern,1,250258,0,3625.846123
257,Linwood Predovic,4/13/68,49,Female,Hispanic,AZ,USA,Associate,332,29,6,4,Senior IOS Engineer,4,data analyst,3,Analyst,3,System Analyst,3,NA,NA,NA,NA,186896,0,4217.821
258,Ching Runolfsdottir,3/14/61,56,Male,Asian,AR,USA,Doctorate,494,23,1,5,Senior UNIX administrator,4,Senior Data Scientist,4,Summer Intern,1,Software Engineer Intern,1,Business Analytics Intern,1,NA,NA,197104,1,3690.593375
259,Chelsie Friesen,2/14/58,59,Female,Hispanic,OR,USA,Undergraduate,322,37,8,6,Senior Programmer,4,"Sr. Manager, Application Security",4,Operations Analyst,3,IT Analyst,3,Product Development Business Analyst,3,Application Development Analyst,3,276003,0,3502.936085
260,Rickie O'Kon,6/17/88,29,Female,Hispanic,WI,USA,Undergraduate,387,7,1,1,Senior User Experience Consultant,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306256,1,7126.663069
261,Sonny Bashirian,8/4/57,60,Male,Caucasian,VA,USA,Doctorate,341,27,3,5,Sr Product Manager,4,Senior Web Engineer,4,Summer Intern,1,Summer Intern,1,Software Engineer Intern,1,NA,NA,182420,1,3444.553817
262,Darell Stroman,2/22/55,62,Male,Asian,DC,USA,Undergraduate,352,40,10,6,Sr. NET Developer,4,Senior Applications Engineer,4,IT Analyst I,3,Advisory Engineer,3,Software Business Operations Analyst,3,Application Development Analyst,3,298436,0,3333.439177
263,Les Heaney,12/3/91,25,Male,Caucasian,TN,USA,Graduate,491,1,1,1,Senior Bioinformatician,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,269043,0,8266.92916
264,Riley Nitzsche,9/22/72,45,Female,Asian,IN,USA,Undergraduate,389,23,1,5,Director of Software Development,5,data analyst,3,Second Line Support Analyst,3,System Analyst III,3,HR Analyst,3,NA,NA,512168,0,4592.738422
265,Willie Will,5/30/81,36,Male,Caucasian,IA,USA,Doctorate,382,3,1,3,Senior IT Analyst,4,Developer Analyst,3,Student Worker,1,NA,NA,NA,NA,NA,NA,199814,0,5740.923028
266,Nadia Barton,7/25/55,62,Female,Native American,NV,USA,Doctorate,374,29,7,4,Sr. Staff Engineer,4,Sr Principal Software Dev Engineer,4,Intern,1,Student Intern Co-op,1,NA,NA,NA,NA,198996,1,3333.439177
267,Renato Reilly,10/26/59,58,Male,African American,DC,USA,Doctorate,388,25,1,5,Sr Principal Software Dev Engineer,4,Senior PHP Developer,4,Research Intern,1,Software Engineer Intern,1,R&D Intern,1,NA,NA,206451,0,3563.331534
268,Michale Stanton,8/7/61,56,Male,Hispanic,WV,USA,Doctorate,481,23,1,6,Technical Lead/Senior Dev,4,"Product Specialist, Sr",4,Intern,1,Software Engineering Intern,1,R&D Intern,1,Web Development Intern,1,419945,0,3690.593375
269,Otelia Gutkowski,5/10/77,40,Male,African American,ME,USA,Undergraduate,360,18,4,3,Senior Member of Technical Staff,4,Senior Programmer,4,Developer Analyst,3,NA,NA,NA,NA,NA,NA,257358,0,5166.830725
270,Elodia Schmidt,9/20/73,44,Male,Hispanic,MI,USA,Associate,467,24,1,5,Senior DevOps,4,HR Analyst,3,System Analyst III,3,IT Analyst,3,Programmer Analyst III,3,NA,NA,113439,0,4697.118841
271,Mohammed Mayer,8/20/63,54,Male,Native American,HI,USA,Undergraduate,464,32,4,6,Sr. QA Analyst,4,Technical Lead/Senior Dev,4,System Analyst,3,Operations Analyst,3,IT Analyst I,3,Database Analyst,3,188265,1,3827.282019
272,Yesenia Murray,12/5/58,58,Male,Hispanic,DC,USA,Undergraduate,306,36,9,4,Senior Team Lead,4,Developer Analyst,3,Programmer Analyst I,3,Product Analyst,3,NA,NA,NA,NA,273042,0,3563.331534
273,Violet Bernier,3/20/73,44,Female,Hispanic,TN,USA,Graduate,391,20,1,4,Director of Core Product,5,Senior Consultant,4,Student Worker,1,Software Engineering Intern,1,NA,NA,NA,NA,263583,1,4697.118841
274,Chet Beer,8/14/83,34,Male,Native American,SD,USA,Doctorate,465,1,1,1,Senior IOS Engineer,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209653,0,6078.624382
275,Josh Ziemann,8/20/66,51,Male,Asian,WY,USA,Undergraduate,345,29,6,4,Senior Consultant (Salesforce.com developer),4,Senior Data Analyst,4,Team Lead,3,Operations Analyst,3,NA,NA,NA,NA,203582,0,4052.416255
276,Gerard Pacocha,10/12/72,45,Male,African American,WA,USA,Doctorate,316,12,3,4,"Director, Online Marketing",5,Senior Full Stack Engineer,4,Internal Help Desk,1,Research Intern,1,NA,NA,NA,NA,347444,1,4592.738422
278,Hermila Prohaska,8/7/62,55,Female,Asian,NH,USA,Undergraduate,467,33,3,6,"Director, Product Management",5,data analyst,3,Analyst programmer iii,3,Programmer Analyst,3,Programmer Analyst,3,HR Analyst,3,192247,1,3757.695073
279,Rickie Grant,10/2/90,27,Male,Asian,WI,USA,Graduate,412,3,1,1,Senior full stack developer,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,188767,1,7654.564037
280,Harvey Schoen,4/30/75,42,Female,Caucasian,NH,USA,Graduate,350,18,4,4,Senior developer,4,Senior developer,4,Data Science Intern,1,R&D Intern,1,NA,NA,NA,NA,205901,0,4920.791167
281,Kazuko Blick,2/8/53,64,Male,African American,MI,USA,Associate,432,44,4,6,Senior System Administrator,4,Senior Computer Engineer,4,information technology analyst,3,Dev Team leader,3,Business systems analyst,3,Technology Business Analyst,3,189002,1,3229.269203
282,Georgine Daugherty,6/22/65,52,Male,Asian,OH,USA,Associate,381,32,4,4,CEO (Co-Founder),6,IT Analyst,3,IT Analyst I,3,Devops team lead,3,NA,NA,NA,NA,664571,1,3974.485173
283,Adam Leuschke,4/16/62,55,Male,Hispanic,UT,USA,Associate,401,35,1,5,Senior - Risk Assurance,4,Sr Software Developer,4,IT Analyst,3,Software Business Operations Analyst,3,Business systems analyst,3,NA,NA,102703,0,3757.695073
284,Omer Marquardt,12/19/71,45,Female,African American,CA,USA,Associate,446,25,1,6,Senior Team Lead,4,Senior Manager IT,4,Business systems analyst,3,Software analyst,3,Software Business Operations Analyst,3,Business Analyst,3,218246,1,4592.738422
285,Jamey Nikolaus,8/27/80,37,Male,Native American,HI,USA,Undergraduate,357,15,4,3,Senior Analyst,4,Analyst,3,Programmer/Analyst,3,NA,NA,NA,NA,NA,NA,206558,1,5585.762946
286,Lieselotte Schowalter,8/27/58,59,Male,Asian,VT,USA,Doctorate,448,26,5,5,Senior Interactive Developer,4,General Manager,4,R&D Intern,1,Student Intern Co-op,1,Research Intern,1,NA,NA,185887,1,3502.936085
287,Sharleen Lockman,6/30/70,47,Female,African American,OR,USA,Undergraduate,367,25,1,6,Senior Computer Engineer,4,Senior systems engineer,4,Analyst,3,Analyst programmer iii,3,Data analyst,3,Development Team Lead,3,183228,1,4397.302745
288,Keitha Ebert,10/28/56,61,Male,African American,HI,USA,Undergraduate,486,39,12,4,Senior QA Engineer,4,System Analyst,3,Development Team Lead,3,Second Line Support Analyst,3,NA,NA,NA,NA,194597,1,3388.085721
289,Franklin Stokes,1/24/76,41,Male,Native American,AL,USA,Undergraduate,407,19,1,4,Executive Director of User Experience,5,Programmer Analyst I,3,Dev Team leader,3,Developer / System Analyst,3,NA,NA,NA,NA,203701,1,5040.810463
290,Duncan Bergnaum,5/26/53,64,Female,Native American,WV,USA,Associate,427,44,10,6,Senior Expert,4,Senior consultant,4,System Analyst III,3,Programmer Analyst III,3,information technology analyst,3,Team Lead,3,108721,0,3229.269203
291,Shara Cassin,12/3/66,50,Female,Asian,WA,USA,Graduate,313,26,3,4,Strategy Director,5,Senior Graphic Designer,4,Software Engineering Intern,1,R&D Intern,1,NA,NA,NA,NA,227304,0,4133.46458
292,Willie Waelchi,1/19/85,32,Male,Native American,TX,USA,Associate,378,12,3,4,Senior Programmer,4,Senior Computer Engineer,4,Junior Developer,3,Dev Team leader,3,NA,NA,NA,NA,197594,0,6458.538406
293,Francisco Wyman,7/11/91,26,Female,Asian,TX,USA,Associate,320,6,2,3,Software Business Operations Analyst,3,IT Systems Technician,2,Advisory Engineer,3,NA,NA,NA,NA,NA,NA,130992,1,7948.970346
294,Elaina Ziemann,10/21/72,45,Male,Native American,NY,USA,Doctorate,445,12,2,3,Sr. Support Engineer,4,"Product Specialist, Sr",4,Software Engineering Intern,1,NA,NA,NA,NA,NA,NA,216462,0,4592.738422
295,Jarrett Jerde,1/9/61,56,Male,Hispanic,MD,USA,Associate,456,36,4,5,Senior Graphic Designer,4,Senior DevOps,4,Database Analyst,3,Dev Team leader,3,"Lead DevOps Engineer, Team Lead",3,NA,NA,190921,1,3690.593375
296,Jon Tillman,2/6/57,60,Female,African American,AR,USA,Doctorate,439,27,12,6,Executive Director of User Experience,5,Senior Java Dev,4,Software Engineering Intern,1,Intern,1,Information Systems Intern,1,Web Development Intern,1,196974,1,3444.553817
297,Cristopher Bauch,7/18/71,46,Female,Asian,CT,USA,Associate,331,26,11,4,Senior Ruby Developer,4,Senior Applications Developer,4,Software Engineer / Team Lead,3,Analyst (Technology),3,NA,NA,NA,NA,188016,1,4492.896283
298,Annis Willms,5/11/93,24,Male,Asian,CT,USA,Undergraduate,434,2,1,4,Senior Business Intelligence Developer,4,Devops team lead,3,Data Analyst,3,information technology analyst,3,NA,NA,NA,NA,278214,0,8611.384542
299,Truman Hilpert,11/27/61,55,Female,Caucasian,NE,USA,Undergraduate,352,33,2,6,"Senior Designer, UX",4,Senior Sales Consultant,4,Analyst,3,Programmer/Analyst,3,Developer Analyst,3,Dev Team leader,3,192790,1,3757.695073
300,Merrill Kulas,4/3/74,43,Male,Native American,NV,USA,Undergraduate,466,21,1,4,Director of User Experience,5,Online Marketing Analyst,3,Application Development Analyst,3,Application Analyst,3,NA,NA,NA,NA,206076,0,4806.354163
301,Stephenie Schneider,11/11/72,44,Male,African American,MD,USA,Associate,302,24,1,5,data analyst,3,Developer / System Analyst,3,System Analyst,3,Business systems analyst,3,Technology Business Analyst,3,NA,NA,193713,0,4697.118841
302,Micha Jacobson,11/12/80,36,Female,Caucasian,AK,USA,Undergraduate,361,14,1,5,Senior Applications Engineer,4,Senior Interactive Developer,4,Data Analyst,3,Programmer Analyst III,3,Developer Analyst,3,NA,NA,197154,0,5740.923028
303,Brady Deckow,10/4/91,26,Female,Hispanic,NJ,USA,Undergraduate,333,4,1,1,Senior software engineer,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190557,1,7948.970346
304,Earle Powlowski,8/18/78,39,Female,Native American,IL,USA,Associate,333,19,1,4,Senior Fullstack Developer,4,Sr Full-Stack Develop,4,Team Lead,3,Software Engineer / Team Lead,3,NA,NA,NA,NA,216264,0,5299.313564
306,Thurman Raynor,4/28/64,53,Female,Caucasian,OR,USA,Associate,430,33,6,6,Senior Android Developer,4,Online Marketing Analyst,3,Dev Team leader,3,IT Analyst I,3,Operations Analyst,3,Data analyst,3,199752,0,3899.494887
307,Mammie Nienow,6/18/72,45,Female,African American,MS,USA,Graduate,322,21,1,4,Director of Engineering,5,Senior Programmer,4,Intern,1,Internal Help Desk,1,NA,NA,NA,NA,280094,0,4592.738422
308,Nicolle Barton,12/12/65,51,Female,Caucasian,NH,USA,Graduate,445,27,8,5,Senior Systems Analyst,4,Senior Java Developer,4,Developer Intern,1,Business Analytics Intern,1,Internal Help Desk,1,NA,NA,268999,1,4052.416255
309,Truman Koepp,12/9/73,43,Female,Native American,OK,USA,Doctorate,362,10,3,5,Senior Software Egnineer,4,Senior UI Developer,4,Student Intern Co-op,1,Web Development Intern,1,Student Intern Co-op,1,NA,NA,202422,1,4806.354163
311,Ben Collier,6/10/82,35,Male,Hispanic,NC,USA,Doctorate,369,2,1,3,Senior Application Developer,4,Data Science Intern,1,Business Analytics Intern,1,NA,NA,NA,NA,NA,NA,186613,1,5904.9494
312,Lacy King,10/6/86,31,Female,Hispanic,DE,USA,Undergraduate,436,9,3,4,Senior devops,4,"Bioinformatics Scientist, Sr",4,Developer / System Analyst,3,Analyst (Technology),3,NA,NA,NA,NA,201542,0,6666.878355
313,Marcellus Connelly,4/2/64,53,Female,Native American,MO,USA,Graduate,334,29,3,6,Sr. Director of Program Management,5,Sr Quality Engineer,4,Information Systems Intern,1,Developer Intern,1,Developer Intern,1,Summer Intern,1,199369,0,3899.494887
314,Siu Mills,12/12/85,31,Male,Native American,LA,USA,Undergraduate,488,9,2,3,"Senior Designer, UX",4,Senior Mechanical Engineer,4,Product Analyst,3,NA,NA,NA,NA,NA,NA,183568,1,6666.878355
315,Elena Toy,12/13/60,56,Female,Caucasian,VT,USA,Associate,428,36,10,5,"Senior Designer, UX",4,Senior Verification Engineer,4,Security Analyst,3,Analyst (Technology),3,Product Development Business Analyst,3,NA,NA,201123,1,3690.593375
316,Chi Johns,7/3/74,43,Male,Native American,CA,USA,Undergraduate,478,21,1,6,Manager / ProductOwner,6,Senior software engineer,4,Software Business Operations Analyst,3,System Analyst III,3,Team Lead,3,Business Analyst,3,203167,1,4806.354163
317,Tyesha Weissnat,12/20/66,50,Male,Caucasian,ME,USA,Doctorate,451,17,3,3,Senior Security Engineer,4,Senior DevOps Engineer,4,Software Engineer Intern,1,NA,NA,NA,NA,NA,NA,261625,0,4133.46458
319,Daisy Pouros,5/6/57,60,Male,Native American,VA,USA,Graduate,385,36,9,5,"Senior Manager, Delivery",4,Senior Product Designer,4,Internal Help Desk,1,Student Worker,1,Software Engineering Intern,1,NA,NA,263097,0,3444.553817
320,Xuan Howell,12/8/63,53,Female,African American,WA,USA,Doctorate,343,20,1,5,Senior Member of Technical Staff,4,Senior Ruby Developer,4,Research Intern,1,Developer Intern,1,Web Development Intern,1,NA,NA,212855,1,3899.494887
321,Mose Kling,8/5/92,25,Female,Hispanic,OK,USA,Associate,323,5,2,1,Developer / System Analyst,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116552,1,8266.92916
322,Sharyl Homenick,11/15/79,37,Male,Hispanic,KY,USA,Undergraduate,411,15,3,4,Senior Interactive Developer,4,Senior DBA (MSSQL),4,System Analyst,3,Operations Analyst,3,NA,NA,NA,NA,204765,0,5585.762946
323,Cordell Ratke,12/4/74,42,Female,Caucasian,UT,USA,Graduate,487,18,4,5,Strategy Director,5,Programmer Analyst I,3,Student Worker,1,Web Development Intern,1,Software Engineering Intern,1,NA,NA,190498,0,4920.791167
324,Celinda Zulauf,3/19/58,59,Female,Native American,ME,USA,Associate,424,39,4,4,Senior Consultant (Salesforce.com developer),4,Senior UNIX administrator,4,Business systems analyst,3,Analyst,3,NA,NA,NA,NA,207113,1,3502.936085
325,Mohammad Upton,6/25/57,60,Male,African American,UT,USA,Doctorate,356,27,1,5,Vice President,5,Technical Director,5,Intern,1,Developer Intern,1,Business Analytics Intern,1,NA,NA,264135,1,3444.553817
326,Julio Howell,10/23/59,58,Female,Hispanic,MD,USA,Associate,337,38,9,6,Technical Lead/Senior Dev,4,Sr. Ops Analyst,4,Database Analyst,3,Data analyst,3,Programmer/Analyst,3,Developer / System Analyst,3,209023,0,3563.331534
327,Graham Littel,1/20/70,47,Male,Native American,ND,USA,Graduate,449,23,1,4,Co-Founder,6,Sr MySQL DBA,4,Web Development Intern,1,Business Analytics Intern,1,NA,NA,NA,NA,188233,0,4397.302745
328,Angelia Haley,4/18/72,45,Female,African American,FL,USA,Doctorate,451,12,5,4,Senior Editor,4,Senior Editor,4,Summer Intern,1,Internal Help Desk,1,NA,NA,NA,NA,186387,0,4592.738422
329,Emelda Aufderhar,8/5/76,41,Female,Native American,DE,USA,Associate,478,21,1,6,Software analyst,3,Programmer/Analyst,3,Development Team Lead,3,Development Team Lead,3,Programmer Analyst,3,Programmer Analyst III,3,115923,0,5040.810463
330,Rod Bosco,4/5/55,62,Male,Caucasian,NV,USA,Graduate,343,38,8,4,Director of Product,5,Senior full stack developer,4,Internal Help Desk,1,Developer Intern,1,NA,NA,NA,NA,204204,0,3333.439177
331,Jeff Thompson,2/15/82,35,Male,Asian,MI,USA,Undergraduate,386,13,5,4,Senior software developer,4,Software Business Operations Analyst,3,HR Analyst,3,HR Analyst,3,NA,NA,NA,NA,308470,1,5904.9494
332,Jammie Shanahan,6/20/62,55,Female,Hispanic,AK,USA,Doctorate,392,22,1,6,Senior Expert,4,"Senior Designer, UX",4,Information Systems Intern,1,Software Engineer Intern,1,Web Development Intern,1,Developer Intern,1,189698,0,3757.695073
333,Angel Goodwin,8/8/92,25,Male,Asian,SC,USA,Graduate,359,1,1,1,Senior PHP Developer,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,193681,0,8266.92916
334,Vanna Bruen,6/9/75,42,Male,Asian,TN,USA,Associate,435,22,1,5,senior solution architect,4,Senior Security Researcher,4,Application Development Analyst,3,Data analyst,3,Operations Analyst,3,NA,NA,200216,0,4920.791167
335,Pearlene Hahn,4/22/81,36,Female,Native American,DC,USA,Associate,344,16,5,5,Senior Python Developer,4,senior software engineer,4,Devops team lead,3,Devops team lead,3,System Analyst III,3,NA,NA,116622,1,5740.923028
336,Dani McLaughlin,6/3/63,54,Female,Native American,PA,USA,Doctorate,383,21,1,4,Senior Web Engineer,4,Sr Software Developer,4,Summer Intern,1,Product Management Intern,1,NA,NA,NA,NA,191278,1,3827.282019
337,Bulah Hagenes,1/5/63,54,Male,Asian,DC,USA,Graduate,360,30,5,5,sr engagement associate,4,Senior .Net Developer,4,Internal Help Desk,1,Developer Intern,1,Intern,1,NA,NA,187105,0,3827.282019
338,Amberly Durgan,6/20/57,60,Female,Caucasian,MD,USA,Associate,369,40,10,6,Senior Data Scientist,4,Senior System Administrator,4,Security Analyst,3,Application Analyst,3,HR Analyst,3,Analyst programmer iii,3,193260,0,3444.553817
339,Ervin Lebsack,7/14/57,60,Male,African American,TN,USA,Associate,362,40,3,4,Sr. Engineering Manager,4,Senior UI Developer,4,Programmer Analyst I,3,Development Team Lead,3,NA,NA,NA,NA,189919,0,3444.553817
340,Jacelyn Huels,4/5/68,49,Male,Native American,KY,USA,Undergraduate,437,27,9,5,Director of Technology / Sr. Lead Developer,5,Dev Team leader,3,IT Analyst I,3,Data analyst,3,IT Analyst I,3,NA,NA,206553,0,4217.821
341,Pauletta Schamberger,1/16/83,34,Female,Native American,IL,USA,Doctorate,315,1,1,1,Senior IOS Engineer,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,211448,0,6078.624382
342,Darnell Wyman,1/29/76,41,Male,African American,VA,USA,Doctorate,409,8,1,1,SR. Software Consultant,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118696,1,5040.810463
343,Andrea Stokes,11/16/86,30,Male,Native American,GA,USA,Undergraduate,438,8,1,2,Senior iOS Developer,4,Security Analyst,3,NA,NA,NA,NA,NA,NA,NA,NA,107200,0,6889.107633
344,King Douglas,2/15/74,43,Female,African American,MA,USA,Graduate,369,19,1,5,Senior Mobile Developer,4,Senior software developer,4,Web Development Intern,1,Information Systems Intern,1,Web Development Intern,1,NA,NA,229234,1,4806.354163
345,Eddie Dietrich,11/19/77,39,Female,Hispanic,ND,USA,Associate,458,19,1,3,Analyst (Technology),3,Programmer Analyst III,3,Software Engineer / Team Lead,3,NA,NA,NA,NA,NA,NA,185923,1,5299.313564
346,Cristobal Bradtke,8/23/61,56,Female,Native American,AZ,USA,Doctorate,351,23,1,5,Senior Team Lead,4,Senior Full Stack Developer,4,R&D Intern,1,Business Analytics Intern,1,R&D Intern,1,NA,NA,204599,0,3690.593375
347,Dulce Gulgowski,11/30/74,42,Male,Native American,MI,USA,Doctorate,488,9,3,5,Senior devops,4,data mining analyst,3,Research Intern,1,Student Worker,1,Intern,1,NA,NA,294890,0,4920.791167
348,Felton Rogahn,9/27/70,47,Male,Asian,CO,USA,Associate,409,27,12,4,Senior Systems Engineer,4,Sr. Software Developer,4,Software analyst,3,Developer Analyst,3,NA,NA,NA,NA,192236,1,4397.302745
349,Ermelinda Wunsch,9/5/69,48,Female,Caucasian,SD,USA,Doctorate,412,15,3,4,"Senior Manager, Delivery",4,Senior Solutions Engineer,4,Student Intern Co-op,1,Information Systems Intern,1,NA,NA,NA,NA,259193,0,4305.692271
350,Britta Keeling,12/5/58,58,Male,Asian,AK,USA,Associate,342,38,12,6,Programmer Analyst,3,Dev Team leader,3,System Analyst III,3,Analyst (Technology),3,Analyst programmer iii,3,Technology Business Analyst,3,201404,0,3563.331534
351,Londa Roberts,2/23/62,55,Female,Caucasian,MO,USA,Associate,337,35,7,4,Sr Staff Program Mgr,4,Senior systems engineer,4,Product Development Business Analyst,3,Business Analyst,3,NA,NA,NA,NA,192183,1,3757.695073
352,Ricardo Yost,12/17/68,48,Female,Asian,AK,USA,Graduate,331,24,1,5,Sr. Frontend Eng,4,Sr. Product Manager,4,Internal Help Desk,1,Data Science Intern,1,Student Worker,1,NA,NA,209462,0,4305.692271
353,Lincoln Will,11/28/86,30,Female,Asian,KS,USA,Graduate,332,6,2,3,Senior Computer Engineer,4,Senior Security Researcher,4,Research Intern,1,NA,NA,NA,NA,NA,NA,192386,0,6889.107633
354,Alberto Leuschke,1/2/57,60,Male,Caucasian,KS,USA,Graduate,430,36,1,4,Senior Security Engineer,4,Senior Applications Developer,4,Data Science Intern,1,Developer Intern,1,NA,NA,NA,NA,208681,0,3444.553817
355,Peter Nikolaus,3/21/87,30,Male,Native American,NY,USA,Undergraduate,491,8,3,2,Analyst,3,Business systems analyst,3,NA,NA,NA,NA,NA,NA,NA,NA,121937,1,6889.107633
356,Reiko Harber,1/21/59,58,Female,Asian,TN,USA,Undergraduate,370,36,9,6,Senior Software Engineer,4,Senior Consultant (Salesforce.com developer),4,Business systems analyst,3,Analyst,3,data mining analyst,3,Software Business Operations Analyst,3,197866,0,3563.331534
357,Andres Larkin,2/10/57,60,Female,Hispanic,LA,USA,Undergraduate,432,38,2,4,sr engagement associate,4,Senior Network Engineer,4,Application Development Analyst,3,Product Development Business Analyst,3,NA,NA,NA,NA,197604,1,3444.553817
358,Lupe McLaughlin,2/11/56,61,Male,Asian,AR,USA,Associate,308,41,8,5,Senior software developer,4,Senior Verification Engineer,4,Business Analyst,3,Programmer Analyst I,3,Product Development Business Analyst,3,NA,NA,207339,1,3388.085721
359,Coralie Feeney,12/31/64,52,Female,African American,MO,USA,Doctorate,313,19,1,5,Senior Business Analyst,4,Senior Performance Engineer II,4,Internal Help Desk,1,Business Analytics Intern,1,Product Management Intern,1,NA,NA,197550,1,3974.485173
360,Ivy Koepp,10/6/54,63,Male,African American,OK,USA,Doctorate,423,30,3,4,Senior Expert,4,Senior Software Egnineer,4,Student Worker,1,Product Management Intern,1,NA,NA,NA,NA,279132,0,3280.527444
362,Florida Funk,5/15/77,40,Male,Caucasian,IA,USA,Undergraduate,403,18,1,4,Co-Founder,6,Co-Founder,6,Software analyst,3,Technology Business Analyst,3,NA,NA,NA,NA,187717,1,5166.830725
363,Sunday Marquardt,8/3/62,55,Male,Caucasian,LA,USA,Undergraduate,455,33,11,6,Director of operations,5,Team Lead,3,Development Team Lead,3,Programmer Analyst,3,Analyst (Technology),3,IT Analyst,3,208388,1,3757.695073
364,Svetlana Hermiston,1/27/77,40,Female,Asian,FL,USA,Graduate,346,16,2,3,Director of Data Analytics,5,Director of operations,5,Student Worker,1,NA,NA,NA,NA,NA,NA,197487,0,5166.830725
365,Ricardo Wuckert,12/31/76,40,Female,African American,ND,USA,Graduate,405,16,1,4,Sr Web Developer,4,Senior devops,4,Web Development Intern,1,Data Science Intern,1,NA,NA,NA,NA,203038,1,5166.830725
366,Larry Franecki,7/31/66,51,Male,Native American,FL,USA,Graduate,459,27,11,6,Sr Quality Engineer,4,Senior Systems Engineer,4,Student Intern Co-op,1,Software Engineering Intern,1,Web Development Intern,1,Research Intern,1,183232,0,4052.416255
368,Trisha Miller,7/3/71,46,Male,Native American,IL,USA,Doctorate,351,13,5,3,General Manager,4,SOFTWARE ARCHITECT,4,Web Development Intern,1,NA,NA,NA,NA,NA,NA,223028,0,4492.896283
369,Maye Braun,12/27/61,55,Female,African American,WY,USA,Doctorate,448,22,1,5,Senior Android Developer,4,Sr Software Developer,4,Web Development Intern,1,Business Analytics Intern,1,Software Engineer Intern,1,NA,NA,190122,0,3757.695073
370,Jefferson Hessel,11/21/75,41,Male,Hispanic,NV,USA,Undergraduate,492,19,1,5,Senior PHP Developer,4,Senior Full Stack Engineer,4,Application Development Analyst,3,Software Business Operations Analyst,3,Analyst,3,NA,NA,190371,0,5040.810463
371,Ned Swift,5/15/56,61,Male,African American,NV,USA,Graduate,304,37,9,4,CEO (Co-Founder),6,Sr. QA Analyst,4,Business Analytics Intern,1,Research Intern,1,NA,NA,NA,NA,193972,0,3388.085721
372,Terrie Gislason,11/28/75,41,Female,African American,IN,USA,Graduate,435,17,4,4,Senior full stack developer,4,"Bioinformatics Scientist, Sr",4,Student Intern Co-op,1,Software Engineer Intern,1,NA,NA,NA,NA,207629,1,5040.810463
373,Scot Schiller,5/20/76,41,Male,Caucasian,SC,USA,Associate,367,21,1,6,SR. Software Consultant,4,Senior Consulting Associate,4,Devops team lead,3,UI team lead,3,Advisory Engineer,3,Devops team lead,3,199155,0,5040.810463
374,Richard Considine,12/30/64,52,Female,Caucasian,IA,USA,Graduate,385,28,1,4,Sr Quality Engineer,4,Senior .Net Developer,4,Software Engineering Intern,1,R&D Intern,1,NA,NA,NA,NA,203829,1,3974.485173
375,Napoleon Larkin,7/24/59,58,Male,Caucasian,MS,USA,Graduate,445,34,2,5,Sr. Software Developer,4,Senior User Experience Consultant,4,Business Analytics Intern,1,Software Engineer Intern,1,Software Engineer Intern,1,NA,NA,187242,1,3563.331534
376,Frank Feil,2/25/86,31,Male,African American,NY,USA,Associate,418,11,4,5,Product Analyst,3,Broadcast Technician,2,Software analyst,3,UI team lead,3,Junior Developer,3,NA,NA,248432,1,6666.878355
377,Hue Smith,11/1/70,47,Male,African American,RI,USA,Undergraduate,304,25,1,4,Senior System Engineer,4,Senior PM,4,Analyst (Technology),3,Application Development Analyst,3,NA,NA,NA,NA,209778,1,4397.302745
378,Yoko Block,12/20/55,61,Female,Asian,IN,USA,Graduate,416,37,10,5,Co-Founder,6,Assistant Director of Development,5,R&D Intern,1,Business Analytics Intern,1,Software Engineer Intern,1,NA,NA,200473,1,3388.085721
379,Herschel Ledner,2/10/84,33,Female,Caucasian,OR,USA,Undergraduate,446,11,3,5,Senior Consultant (Salesforce.com developer),4,Senior Member of Technical Staff,4,Junior Developer,3,Database Analyst,3,System Analyst III,3,NA,NA,208464,0,6262.825121
380,Kathryn Veum,9/23/63,54,Male,Caucasian,UT,USA,Undergraduate,308,32,12,4,General Manager,4,Sr Product Manager,4,Devops team lead,3,Developer / System Analyst,3,NA,NA,NA,NA,180044,1,3827.282019
381,Jacki Pollich,10/21/76,41,Female,Caucasian,CA,USA,Undergraduate,479,19,1,4,Senior Network Engineer,4,UI team lead,3,Software analyst,3,Second Line Support Analyst,3,NA,NA,NA,NA,305971,1,5040.810463
